dataset,GoodReadsDatasets/GoodReads_309t_84218w
ALPHA,0.2
G_Size,5
k_value,phi_k
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.006472491909385114
3.1,0.0
3.2,0.0032362459645669285
3.3,0.0
3.4,0.019359418524830228
3.5,0.01300304077706189
3.6,0.032363067769776196
3.7,0.07442882120143339
3.8,0.06794408186674344
3.9,0.14888722925760434
4.0,0.13592343675134994
4.1,0.08742640395502253
4.2,0.1620912329892767
4.3,0.1162973267775795
4.4,0.05841970080026859
4.5,0.03778343432754576
4.6,0.023408724357214646
4.7,0.012955342770339462
4.8,0.0
4.9,0.0
5.0,0.0
