id,rank
12586,0
22161,1
9856,2
12489,3
22214,4
9831,5
9832,6
9861,7
9945,8
373,9
318,10
319,11
5530,12
5590,13
5602,14
21443,15
21509,16
44794,17
44861,18
444,19
2409,20
485,21
34058,22
34077,23
34170,24
166,25
229,26
307,27
309,28
908,29
925,30
929,31
990,32
994,33
2615,34
2631,35
2635,36
2646,37
2683,38
3708,39
3714,40
3741,41
3772,42
3817,43
5620,44
8338,45
8381,46
12835,47
19778,48
31037,49
44817,50
44849,51
12569,52
406,53
5528,54
978,55
2378,56
30909,57
30939,58
30994,59
30997,60
2343,61
34051,62
34169,63
2611,64
2669,65
3709,66
3712,67
3743,68
3832,69
5572,70
8414,71
8761,72
8804,73
12840,74
31117,75
32655,76
32684,77
32687,78
32702,79
32741,80
5537,81
30940,82
2379,83
30998,84
8771,85
219,86
2672,87
2770,88
2838,89
2880,90
8698,91
10739,92
21471,93
32163,94
32187,95
32190,96
32649,97
32692,98
36946,99
12599,100
3737,101
3831,102
30956,103
1027,104
2340,105
1020,106
936,107
1009,108
1459,109
1531,110
1537,111
1585,112
2759,113
2864,114
3103,115
3106,116
3126,117
3127,118
3147,119
3163,120
8815,121
10655,122
10693,123
10702,124
19766,125
21445,126
23190,127
23229,128
23304,129
23306,130
24218,131
24326,132
24762,133
31064,134
32140,135
32203,136
39510,137
39538,138
39556,139
43140,140
43145,141
43163,142
44832,143
6220,144
6222,145
6237,146
6269,147
6300,148
21511,149
43175,150
487,151
341,152
5550,153
23243,154
2751,155
2804,156
1407,157
1448,158
1473,159
1521,160
1525,161
1583,162
3095,163
3206,164
3758,165
3852,166
5578,167
5899,168
5926,169
5985,170
5990,171
6012,172
6052,173
6054,174
18391,175
18392,176
18417,177
23174,178
23277,179
24213,180
24217,181
24238,182
24321,183
24744,184
24746,185
28858,186
31089,187
32153,188
38558,189
38562,190
38582,191
39473,192
39578,193
40797,194
43169,195
22198,196
6201,197
6228,198
6239,199
23216,200
1393,201
410,202
39495,203
43154,204
24700,205
39577,206
39541,207
377,208
10719,209
30974,210
6212,211
22165,212
19795,213
1005,214
1388,215
2719,216
2783,217
3087,218
3165,219
5953,220
5962,221
5969,222
5981,223
6023,224
6039,225
6040,226
6876,227
7330,228
8395,229
8453,230
8478,231
8969,232
10616,233
14022,234
15277,235
16505,236
16510,237
16512,238
16536,239
16602,240
16612,241
18329,242
18338,243
18371,244
18389,245
18390,246
18411,247
21479,248
21560,249
21574,250
21667,251
23200,252
23285,253
23308,254
24312,255
25541,256
25602,257
25618,258
25627,259
32121,260
32206,261
32745,262
38555,263
38565,264
38567,265
38630,266
39191,267
40831,268
40875,269
40880,270
40885,271
12678,272
12713,273
12760,274
12791,275
14107,276
14180,277
14202,278
14239,279
14252,280
14332,281
11676,282
11688,283
14240,284
5935,285
17229,286
17277,287
17288,288
17297,289
21816,290
45307,291
45372,292
45373,293
45387,294
45428,295
21807,296
12411,297
12418,298
12806,299
2810,300
15254,301
7367,302
8971,303
1424,304
45286,305
17273,306
3097,307
21639,308
2821,309
5940,310
18316,311
8432,312
5959,313
22250,314
38556,315
2640,316
223,317
34068,318
984,319
1597,320
2728,321
3124,322
3361,323
3396,324
3846,325
4784,326
4825,327
6004,328
6045,329
6818,330
6824,331
6838,332
6840,333
7329,334
7370,335
8464,336
8466,337
8483,338
8756,339
8967,340
9015,341
10678,342
14031,343
14086,344
15253,345
16528,346
16555,347
16604,348
16611,349
19814,350
21530,351
21573,352
21666,353
24802,354
25545,355
25563,356
25573,357
25583,358
25591,359
25614,360
25622,361
26418,362
26423,363
26445,364
26465,365
28821,366
31648,367
31692,368
31713,369
31722,370
31732,371
32128,372
32436,373
32437,374
38612,375
39056,376
40868,377
40898,378
40908,379
40911,380
40912,381
40938,382
40954,383
40964,384
40983,385
40992,386
12749,387
21593,388
14260,389
14341,390
14352,391
14364,392
14376,393
37007,394
17226,395
17295,396
17309,397
21840,398
21859,399
45336,400
45351,401
45396,402
12412,403
12464,404
4746,405
14431,406
15973,407
16087,408
4714,409
14330,410
45281,411
6864,412
24800,413
2670,414
24224,415
16587,416
4703,417
21823,418
1372,419
6860,420
2329,421
31018,422
22226,423
22228,424
22236,425
22244,426
22246,427
22251,428
30975,429
321,430
3410,431
3431,432
3432,433
3448,434
4741,435
4765,436
6047,437
6638,438
6661,439
6668,440
6710,441
6760,442
6911,443
7376,444
8958,445
9018,446
9917,447
9939,448
10941,449
11041,450
14483,451
14514,452
14563,453
16446,454
16448,455
21564,456
22441,457
22522,458
26377,459
26385,460
26416,461
26478,462
26485,463
31059,464
31516,465
31522,466
31549,467
31604,468
32701,469
33712,470
33770,471
33777,472
33789,473
34987,474
35006,475
35011,476
35039,477
35044,478
35072,479
35078,480
35575,481
35578,482
35593,483
37199,484
37225,485
37246,486
37253,487
37684,488
37713,489
37722,490
37760,491
38984,492
39042,493
39095,494
39113,495
40928,496
40948,497
43399,498
43431,499
43463,500
43472,501
44388,502
44391,503
44398,504
44419,505
44467,506
12643,507
12689,508
12738,509
12798,510
34968,511
14203,512
14326,513
14373,514
6232,515
11565,516
33782,517
14033,518
8991,519
17222,520
21598,521
45401,522
12404,523
6845,524
22260,525
12041,526
14464,527
4849,528
39225,529
15996,530
6732,531
15228,532
26523,533
32484,534
3452,535
6046,536
44790,537
35649,538
31511,539
9069,540
16373,541
44814,542
370,543
17305,544
14273,545
43409,546
13772,547
16368,548
45284,549
35041,550
31653,551
45956,552
45968,553
45988,554
46008,555
46058,556
4727,557
39184,558
45499,559
15276,560
31598,561
5913,562
34957,563
26496,564
45190,565
45191,566
45202,567
45225,568
45242,569
45267,570
14442,571
