xxx,xxx
0,0.0009895452394269241
1,0.00019360667727918082
2,8.604741212408037e-05
3,8.604741212408037e-05
4,6.453555909306028e-05
5,0.0015273415652024265
6,0.0010110570924579444
7,6.453555909306028e-05
8,0.0006023318848685625
9,0.00040872520758938175
10,6.453555909306028e-05
11,0.00010755926515510046
12,6.453555909306028e-05
13,8.604741212408037e-05
14,0.00012907111818612056
15,0.000709891150023663
16,0.00043023706062040185
17,0.00017209482424816074
18,4.3023706062040185e-05
19,0.0002796540894032612
20,4.3023706062040185e-05
21,0.00038721335455836164
22,4.3023706062040185e-05
23,2.1511853031020093e-05
24,0.0009680333863959042
25,0.00045174891365142196
26,0.0007529148560857032
27,8.604741212408037e-05
28,2.1511853031020093e-05
29,0.00015058297121714064
30,6.453555909306028e-05
31,0.0004947726197134621
32,0.00010755926515510046
33,0.000925009680333864
34,2.1511853031020093e-05
35,0.0002796540894032612
36,0.00015058297121714064
37,0.0003226777954653014
38,0.00017209482424816074
39,2.1511853031020093e-05
40,2.1511853031020093e-05
41,0.0017854838015746676
42,0.00030116594243428127
43,0.000688379296992643
44,4.3023706062040185e-05
45,0.00021511853031020093
46,0.000473260766682442
47,4.3023706062040185e-05
48,6.453555909306028e-05
49,0.000236630383341221
50,6.453555909306028e-05
51,0.0005377963257755023
52,8.604741212408037e-05
53,8.604741212408037e-05
54,0.00012907111818612056
55,2.1511853031020093e-05
56,0.0006238437378995827
57,0.0002581422363722411
58,0.001828507507636708
59,8.604741212408037e-05
60,0.002086649744008949
61,0.0009680333863959042
62,4.3023706062040185e-05
63,0.00045174891365142196
64,4.3023706062040185e-05
65,4.3023706062040185e-05
66,2.1511853031020093e-05
67,2.1511853031020093e-05
68,0.0014843178591403864
69,8.604741212408037e-05
70,4.3023706062040185e-05
71,0.0005377963257755023
72,2.1511853031020093e-05
73,0.0014843178591403864
74,0.0006668674439616228
75,0.0002581422363722411
76,4.3023706062040185e-05
77,0.0006023318848685625
78,0.00015058297121714064
79,0.00040872520758938175
80,6.453555909306028e-05
81,0.00010755926515510046
82,0.000236630383341221
83,0.00021511853031020093
84,4.3023706062040185e-05
85,0.0003657015015273416
86,0.00045174891365142196
87,4.3023706062040185e-05
88,2.1511853031020093e-05
89,0.00038721335455836164
90,0.0002581422363722411
91,2.1511853031020093e-05
92,0.0008174504151787635
93,0.0005377963257755023
94,0.00015058297121714064
95,4.3023706062040185e-05
96,2.1511853031020093e-05
97,0.000236630383341221
98,2.1511853031020093e-05
99,2.1511853031020093e-05
100,8.604741212408037e-05
101,0.00012907111818612056
102,0.003076194983435873
103,0.00015058297121714064
104,2.1511853031020093e-05
105,0.0013337348879232456
106,0.0062814610850578665
107,6.453555909306028e-05
108,0.0010110570924579444
109,0.00012907111818612056
110,0.00010755926515510046
111,8.604741212408037e-05
112,6.453555909306028e-05
113,0.00015058297121714064
114,2.1511853031020093e-05
115,2.1511853031020093e-05
116,8.604741212408037e-05
117,0.00010755926515510046
