dataset,DouBanDatasets_RedundancyCut/Douban_202t_432w_10r
ALPHA,0.1
G_Size,5
Iteration Count,121
k_value,phi_k
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.009900990099638322
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.04291823190568761
3.9,0.02743239167176823
4.0,0.07237279784897613
4.1,0.07090383409771772
4.2,0.0
4.3,0.28150938120081503
4.4,0.0
4.5,0.0
4.6,0.12648397599406738
4.7,0.20667932994957364
4.8,0.15046129640386233
4.9,0.011337770827889065
5.0,0.0
