# 节点数  边数   ,120415  293298
40809,110994
40809,98064
40809,118503
40809,91820
40809,119498
40809,63421
40809,32725
40809,80352
40809,24952
40809,56012
40809,95943
40809,883
40809,61203
40809,96387
40809,60079
40809,72447
40809,49303
40809,80765
40809,83625
40809,101839
40809,29923
40809,91202
40809,37338
40809,105822
40809,114835
40809,24436
40809,36721
40809,8609
40809,65348
40809,1092
40809,100844
40809,5699
40809,90829
40809,18616
40809,84247
40809,30404
40809,1992
40809,3821
40809,68378
40809,27784
40809,90841
40809,49895
40809,30346
40809,107574
40809,49275
40809,68784
40809,105708
40809,21981
40809,86996
40809,15225
40809,1051
40809,107941
40809,82648
40809,76540
40809,18170
40809,21497
40809,79516
40809,24822
40809,23137
40809,117199
40809,3404
40809,84163
40809,36085
40809,76726
40809,73759
40809,1658
40809,3705
40809,107021
40809,50457
40809,6312
40809,3590
40809,14745
40809,12848
40809,108039
40809,25822
40809,43490
40809,70400
40809,52143
40809,8843
40809,23396
40809,14044
40809,116430
40809,8613
40809,7670
40809,24358
40809,77768
40809,36473
40809,73171
40809,21057
40809,84048
40809,2953
40809,3667
40809,21068
40809,8116
40809,101261
40809,73301
40809,72769
40809,21003
40809,77827
40809,53969
40809,49273
40809,82147
40809,21952
40809,20649
40809,44686
40809,5792
40809,93022
40809,47220
40809,87195
40809,64715
40809,95707
40809,51824
40809,27865
40809,115011
40809,60826
40809,4979
40809,3115
40809,91608
40809,87089
40809,81246
40809,35153
40809,51447
40809,95089
40809,55593
40809,37345
40809,20402
40809,4028
40809,34548
40809,77596
40809,14047
40809,9645
40809,55125
40809,54471
40809,58977
40809,105960
40809,48451
40809,53594
40809,13501
40809,117458
40809,215
40809,27080
40809,48286
40809,69857
40809,119269
40809,14631
40809,47921
40809,78068
40809,80976
40809,87773
40809,72661
40809,63069
40809,47760
40809,3561
40809,77791
40809,21932
40809,7117
40809,39813
40809,13194
40809,67268
40809,138
40809,30542
40809,83818
40809,45690
40809,16372
40809,55703
40809,12824
40809,22014
40809,93229
40809,18288
40809,73541
40809,36303
40809,86571
40809,84865
40809,5636
40809,90508
40809,48072
40809,22650
40809,21001
40809,31058
40809,48145
40809,70899
40809,90407
40809,86966
40809,629
40809,54204
40809,26465
40809,67179
40809,2759
40809,25914
40809,30438
40809,84260
40809,42217
40809,52593
40809,80617
40809,58845
40809,90451
40809,95806
