dataset,DouBanDatasets_RedundancyCut/Douban_202t_594w_13r
ALPHA,0.1
G_Size,5
Iteration Count,51
k_value,phi_k
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.004950495038704411
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0054109945579070735
3.7,1.7860165357033685e-15
3.8,0.027375170005362562
3.9,0.011796706559270101
4.0,0.06509729846563132
4.1,0.0932669436403581
4.2,0.15351890545065075
4.3,0.0
4.4,0.16772985344071542
4.5,0.0
4.6,0.14929188330948343
4.7,0.18878381875919562
4.8,0.11166743063191306
4.9,0.021110500140801992
5.0,0.0
