dataset,DouBanDatasets_RedundancyCut/Douban_202t_594w_13r
ALPHA,0.1
G_Size,5
Iteration Count,51
worker_id,worker_ability
0,0.1290505032109053
1,0.08588313927776653
2,0.14089764984778805
3,0.1709557834071202
4,0.12115184608734313
5,0.18116349343979993
6,0.06331876301935509
7,0.15476868583238237
8,0.32170285523214237
9,0.04230392199514701
10,0.16357201211260644
11,0.10018979922770802
12,0.3322000267271894
13,0.4617445363262764
14,0.058210860347708594
15,0.17386782568463116
16,0.17528761642063903
17,0.19518697982799246
18,0.056575500897974286
19,0.27147377261390204
20,0.06356103052897541
21,0.1842607017101502
22,0.15191019470635303
23,0.1609909463358535
24,0.33249909190879334
25,0.19459708144326238
26,0.09739624323976544
27,0.14279574459778982
28,0.14014412529929027
29,0.323793522127173
30,0.5367203378539908
31,0.36797126260835544
32,0.049440598412044116
33,0.19889437732978688
34,0.32980228997830197
35,0.2392448297290776
36,0.16400636475565733
37,0.08471085948959352
38,0.08295357595164823
39,0.22412198597443908
40,0.08452944370202357
41,0.5963157481003248
42,0.5243840009434089
43,0.1898885004930673
44,0.2615345069939993
45,0.22736388325314894
46,0.056787283091423627
47,0.05631462975156895
48,0.1324624452185072
49,0.049298837835931184
50,0.06664886053783499
51,0.06757619655919177
52,0.056788376921002436
53,0.1472120870285862
54,0.11356988854446264
55,0.08890344657576504
56,0.286012071587557
57,0.09240126890638199
58,0.14501585386918858
59,0.21277140034084607
60,0.5258118742653222
61,0.20249707123373795
62,0.3724799333839051
63,0.04702573742498657
64,0.051868855042329846
65,0.25412199233566896
66,0.37300719165413565
67,0.19742448909511778
68,0.2081475801433704
69,0.125604063000247
70,0.1370147742315598
71,0.09116003167703889
72,0.2541235152667765
73,0.34956824122597413
74,0.18634400921478025
75,0.2036819703134589
76,0.2532784537682666
77,0.1522439376874962
78,0.08555617715903568
79,0.07614594542325855
80,0.1371009257012384
81,0.1447443839638266
82,0.3144542695721236
83,0.07806122395170607
84,0.03770752524140579
85,0.0378373182518669
86,0.1490327262543639
87,0.10799261041216016
88,0.13690674457878318
89,0.1180623904079322
90,0.15354893746052706
91,0.22042856123775711
92,0.14677386085050212
93,0.07231213251199568
94,0.36426765785807225
95,0.046161585933448136
96,0.5344863841314379
97,0.30335383621390505
98,0.236406399224928
99,0.12338183602457044
100,0.07582901383136963
101,0.20079280452046164
102,0.13179779876007838
103,0.2135888547073452
104,0.10414432754954399
105,0.08533890526855697
106,0.25581334170951747
107,0.24807487468936562
108,0.12063880962735413
109,0.05766755275473799
110,0.15248756350780956
111,0.14358776534299425
112,0.1097886398339433
113,0.22417296328485825
114,0.33641588941053246
115,0.23306842027071736
116,0.15198674071696486
117,0.09765742558706961
118,0.03785776984853865
119,0.18423951285991577
120,0.2060550711901834
121,0.055760520278309175
122,0.16101491978248642
123,0.0727766165583251
124,0.6818202292058012
125,0.5250733634361509
126,0.02397485636858696
127,0.052305823097036706
128,0.4969418026425588
129,0.0575441526809595
130,0.2137148658099192
131,0.2263186855733576
132,0.08776452623450233
133,0.22161120918303764
134,0.07762974989260821
135,0.11288677134496865
136,0.09337493256260702
137,0.2376258006936211
138,0.19577080065912944
139,0.15142852745349716
140,0.10457308231942347
141,0.037815638918545176
142,0.16016993085974593
143,0.13007650206024057
144,0.30883918128018356
145,0.11600138169893805
146,0.09351630468190575
147,0.19569249737372207
148,0.14116289529775206
149,0.11118562225844285
150,0.12550664597898467
151,0.09464239944515014
152,0.06949223329420638
153,0.09350497190175681
154,0.10792774854319587
155,0.05593171196784073
156,0.05678899285406274
157,0.07249041487844778
158,0.05172904314322804
159,0.024222248159972704
160,0.10974023317252075
161,0.25240808021097055
162,0.10112211090325712
163,0.19712770556793258
164,0.07309581103752967
165,0.25363440167083595
166,0.21802550395380854
167,0.07313596732954109
168,0.39417962863410666
169,0.07652742058973659
170,0.05733288595565812
171,0.07769179006900441
172,0.29155542633626724
173,0.18525071298719267
174,0.02867882788586749
175,0.1348131872144344
176,0.08999045680489742
177,0.19106591382896507
178,0.630454433394766
179,0.13107137634267513
180,0.13760085935536442
181,0.03782230402024536
182,0.10766756311577297
183,0.0378395318692932
184,0.056543456338485815
185,0.14370865385151385
186,0.056584393302015826
187,0.2428528829344834
188,0.12677123731367346
189,0.07104526455723463
190,0.256422004357516
191,0.11481203046741931
192,0.12518697326361905
193,0.11351292480571261
194,0.14829261172278538
195,0.1664714972123903
196,0.0757671432024531
197,0.12404419055420965
