dataset,DouBanDatasets_RedundancyCut/Douban_202t_271w_7r
ALPHA,0.1
G_Size,5
Iteration Count,74
k_value,phi_k
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.009906843832537156
3.1,2.0634974368783673e-13
3.2,0.0
3.3,0.0
3.4,2.3025276653432976e-07
3.5,0.019518839882119568
3.6,0.0
3.7,0.0
3.8,0.04019005532276827
3.9,0.009858733382758887
4.0,0.17286356617165624
4.1,0.1030376649985057
4.2,0.0
4.3,0.09261257262632391
4.4,8.391016387583157e-14
4.5,0.23035688242636793
4.6,0.0
4.7,0.0
4.8,0.32165461110389515
4.9,0.0
5.0,0.0
