# 节点数  边数   ,48021  283544
19825,45371
19825,39812
19825,47610
19825,37276
19825,47827
19825,29296
19825,15681
19825,26586
19825,38917
19825,755
19825,28540
19825,39191
19825,31135
19825,23029
19825,33054
19825,33528
19825,41290
19825,14391
19825,37007
19825,17652
19825,43202
19825,46536
19825,10961
19825,17396
19825,4873
19825,29591
19825,917
19825,40840
19825,3463
19825,36904
19825,9120
19825,33813
19825,14715
19825,1534
19825,2523
19825,30227
19825,12967
19825,36913
19825,23286
19825,14673
19825,43939
19825,23017
19825,30340
19825,43131
19825,10121
19825,35316
19825,7840
19825,881
19825,44132
19825,33396
19825,32123
19825,8920
19825,10065
19825,32758
19825,11095
19825,10543
19825,47248
19825,2219
19825,33742
19825,17127
19825,32178
19825,31391
19825,1337
19825,2428
19825,43771
19825,23649
19825,3792
19825,2346
19825,6748
19825,44183
19825,11568
19825,21020
19825,30688
19825,24659
19825,5007
19825,10608
19825,7473
19825,46995
19825,4877
19825,4459
19825,10932
19825,32386
19825,17316
19825,31284
19825,9987
19825,33651
19825,1955
19825,2395
19825,9992
19825,4647
19825,41027
19825,31307
19825,31200
19825,9956
19825,32404
19825,25541
19825,23015
19825,33314
19825,10102
19825,9836
19825,21421
19825,3534
19825,37754
19825,22505
19825,35427
19825,29483
19825,38750
19825,24467
19825,13036
19825,46595
19825,28375
19825,3098
19825,2060
19825,37198
19825,35369
19825,33168
19825,16794
19825,24260
19825,38427
19825,26364
19825,17654
19825,9742
19825,2664
19825,16440
19825,32327
19825,7476
19825,5334
19825,26130
19825,25801
19825,27835
19825,43277
19825,22742
19825,25372
19825,7173
19825,47328
19825,202
19825,12507
19825,22704
19825,30595
19825,47772
19825,7664
19825,22679
19825,32467
19825,33104
19825,35671
19825,31170
19825,29226
19825,22659
19825,2326
19825,32394
19825,10097
19825,4130
19825,19196
19825,6956
19825,30012
19825,130
19825,14789
19825,33568
19825,21914
19825,8324
19825,26403
19825,6745
19825,10138
19825,37830
19825,8993
19825,31343
19825,17231
19825,35077
19825,34217
19825,3430
19825,36796
19825,22689
19825,10309
19825,9955
19825,14965
19825,22691
19825,30813
19825,36767
19825,35298
19825,570
19825,25653
19825,12067
19825,29997
19825,1792
19825,11638
19825,14737
19825,33824
19825,20492
19825,24909
19825,33010
19825,27779
19825,36779
19825,38827
19825,29698
19825,8455
19825,7348
19825,21273
19825,29798
19825,26114
19825,5232
19825,3639
19825,9378
19825,41059
19825,8442
19825,35299
19825,3725
19825,15004
19825,29888
19825,22851
19825,7801
19825,8630
19825,29022
19825,31499
19825,27905
19825,8960
19825,31088
19825,12476
19825,26603
19825,14300
19825,2439
19825,3941
19825,44886
19825,33816
19825,17646
19825,23007
19825,31495
19825,19806
19825,26756
19825,2480
19825,5143
19825,18059
19825,20894
19825,1666
19825,24869
19825,26415
19825,38325
19825,29648
19825,8861
19825,17948
19825,35527
19825,43730
19825,17960
19825,5466
19825,12441
19825,40134
19825,4395
19825,2547
19825,34865
19825,7357
19825,14481
19825,40755
19825,4059
19825,24934
19825,29391
19825,21089
19825,30150
19825,20820
19825,46323
19825,46859
19825,2585
19825,18886
19825,3223
19825,958
19825,6113
19825,35448
19825,32898
19825,3915
19825,24791
19825,20860
19825,21042
19825,32431
19825,14392
19825,27307
19825,4063
19825,1931
19825,9309
19825,22750
19825,21277
19825,11097
19825,44797
19825,6389
19825,40485
19825,4683
19825,33515
19825,30586
19825,29427
19825,10819
19825,12542
19825,40173
19825,33686
19825,25282
19825,28342
19825,5127
19825,37399
19825,29355
19825,8276
19825,8514
19825,31100
19825,32297
19825,77
19825,45148
19825,31030
19825,5651
19825,15763
19825,29856
19825,25353
19825,3219
19825,31365
19825,5847
19825,26626
19825,20001
19825,7410
19825,26247
19825,31663
19825,24015
19825,46711
2285,18009
2285,46922
2285,449
2285,31832
2285,1987
2285,2849
2285,18637
2285,664
2285,18105
2285,27847
26733,10804
530,4001
530,573
530,27592
6902,3228
6902,14016
9923,10099
9923,12359
9923,7243
15833,47107
12769,14792
12769,45951
12769,34490
999,30183
999,5656
999,12622
999,32319
999,28097
999,39870
999,2309
32749,36817
14416,167
14416,5439
26724,28244
1860,9792
1860,1562
1860,7613
45723,20546
45723,16502
45723,32349
12066,47162
12066,41775
12066,38982
12066,40292
12066,23700
12066,44348
12066,47175
12066,26442
12066,20246
12066,19306
24215,16598
24215,8258
24215,37881
24215,38236
24215,10709
24215,28682
24215,2001
24215,36790
24215,5781
24215,2164
14050,47506
14050,32065
14050,25878
14050,46531
14050,34092
14050,42709
36307,27003
36307,38951
36307,13013
36307,45025
36307,3181
36307,44445
36307,36748
36307,45714
36307,37663
36307,28383
36307,41660
36307,34061
36307,17616
27783,9792
27783,25413
27783,29478
987,27182
987,15989
987,47994
987,34960
987,22418
987,46924
987,26254
987,17772
987,9626
987,26352
987,27703
987,42198
987,4366
987,45640
987,6286
987,44170
987,14524
987,42826
987,3878
987,42788
987,45696
987,5818
987,11832
987,8777
987,23571
987,28677
987,21766
987,1097
987,5945
987,44703
987,44246
987,14005
987,28419
987,27755
987,27441
987,36364
987,26936
987,22149
987,45642
987,1321
987,27856
987,1417
987,21568
