dataset,GoodReadsDatasets_RedundancyCut/GoodReads_309t_4527w
ALPHA,0.1
G_Size,5
k_value,phi_k
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.003262667147598027
3.1,0.0
3.2,0.015344629296858312
3.3,0.029948089511439298
3.4,0.0
3.5,0.0768175189078643
3.6,0.0
3.7,0.05701775655145208
3.8,0.11142807778764412
3.9,0.1429294238523552
4.0,0.13312408978573206
4.1,0.15105181964369382
4.2,0.1602556541602909
4.3,0.038101110428698036
4.4,0.0
4.5,0.05217038417648702
4.6,0.02529417754689427
4.7,0.0
4.8,0.003254601202987919
4.9,0.0
5.0,0.0
